node,V_at_node,Vtilde_at_node,d_at_node,t0_at_node
0.0,1.8330593897705365e7,1.8330593897705365e7,0.0,0.0
4.506172839506172,1.8291349809625782e7,1.8291349809625782e7,0.0,4.506172839506172
9.012345679012345,1.8241920035283048e7,1.8241920035283048e7,0.0,9.012345679012345
13.518518518518519,1.8168967153347705e7,1.8168967153347705e7,0.0,13.518518518518519
18.02469135802469,1.8130696109050922e7,1.8130696109050922e7,0.0,18.02469135802469
22.530864197530864,1.8620978845834352e7,1.88333065721171e7,82.76804585196179,105.29891004949265
27.037037037037038,1.8632476825413037e7,1.883330658731377e7,78.26187898189008,105.29891601892712
31.54320987654321,1.864398190506735e7,1.8833306596909378e7,73.75570979729794,105.29891967384114
36.04938271604938,1.865549408890713e7,1.883330660882253e7,69.24954147503264,105.29892419108202
40.55555555555556,1.866701338090676e7,1.883330659229181e7,64.743362252895,105.29891780845055
45.06172839506173,1.8678539785672747e7,1.8833306450259477e7,60.23713442510016,105.29886282016189
49.5679012345679,1.8690073307970624e7,1.883330659044703e7,55.731015883090016,105.29891711765791
54.074074074074076,1.8701613951046195e7,1.8833306586824905e7,51.22484194171598,105.29891601579006
58.58024691358025,1.8713161721624743e7,1.8833306597788054e7,46.71867308790515,105.2989200014854
63.08641975308642,1.8724716622025266e7,1.8833306581727743e7,42.21249400605225,105.29891375913867
67.5925925925926,1.8736278657333396e7,1.8833306608114798e7,37.70633135735369,105.29892394994629
72.09876543209876,1.874784783172342e7,1.883330660207951e7,33.2001562115788,105.29892164367756
76.60493827160494,1.8759424149904404e7,1.883330659059913e7,28.69397890824454,105.29891717984947
81.11111111111111,1.877100761625816e7,1.8833306545179807e7,24.18778841426606,105.29889952537718
85.61728395061728,1.8782598234925788e7,1.883330660343187e7,19.681638174984496,105.29892212560178
90.12345679012346,1.87941960105879e7,1.883330661147092e7,15.175468440359703,105.29892523048316
94.62962962962963,1.8805800947314583e7,1.8833306606595222e7,10.66929380320338,105.29892343283302
99.1358024691358,1.881741305011169e7,1.8833306607061226e7,6.163121113202712,105.2989235823385
103.64197530864197,1.8829032323038325e7,1.8833306622204747e7,1.6569541309806581,105.29892943962264
108.14814814814815,1.8840293183520366e7,1.8840293183520366e7,0.0,108.14814814814815
112.65432098765432,1.884993460325626e7,1.884993460325626e7,0.0,112.65432098765432
117.1604938271605,1.8858041165331744e7,1.8858041165331744e7,0.0,117.1604938271605
121.66666666666667,1.8864809009229757e7,1.8864809009229757e7,0.0,121.66666666666667
126.17283950617283,1.8870415800891493e7,1.8870415800891493e7,0.0,126.17283950617283
130.679012345679,1.8875021437656812e7,1.8875021437656812e7,0.0,130.679012345679
135.1851851851852,1.8878768874719534e7,1.8878768874719534e7,0.0,135.1851851851852
139.69135802469137,1.8881785016881056e7,1.8881785016881056e7,0.0,139.69135802469137
144.19753086419752,1.8884181642780975e7,1.8884181642780975e7,0.0,144.19753086419752
148.7037037037037,1.8886056339061648e7,1.8886056339061648e7,0.0,148.7037037037037
153.20987654320987,1.8887493435362905e7,1.8887493435362905e7,0.0,153.20987654320987
157.71604938271605,1.8888564923466593e7,1.8888564923466593e7,0.0,157.71604938271605
162.22222222222223,1.8889331365119606e7,1.8889331365119606e7,0.0,162.22222222222223
166.7283950617284,1.8889842761117354e7,1.8889842761117354e7,0.0,166.7283950617284
171.23456790123456,1.8890139403604515e7,1.8890139403604515e7,0.0,171.23456790123456
175.74074074074073,1.8890252665932827e7,1.8890252665932827e7,0.0,175.74074074074073
180.2469135802469,1.889020575869484e7,1.889020575869484e7,0.0,180.2469135802469
184.7530864197531,1.8890014423113998e7,1.8890014423113998e7,0.0,184.7530864197531
189.25925925925927,1.88896875702776e7,1.88896875702776e7,0.0,189.25925925925927
193.76543209876544,1.8889227837774575e7,1.8889227837774575e7,0.0,193.76543209876544
198.2716049382716,1.8888632104745947e7,1.8888632104745947e7,0.0,198.2716049382716
202.77777777777777,1.888789191085447e7,1.888789191085447e7,0.0,202.77777777777777
207.28395061728395,1.8886993820422135e7,1.8886993820422135e7,0.0,207.28395061728395
211.79012345679013,1.8885919706071857e7,1.8885919706071857e7,0.0,211.79012345679013
216.2962962962963,1.888464697451279e7,1.888464697451279e7,0.0,216.2962962962963
220.80246913580248,1.8883148700201824e7,1.8883148700201824e7,0.0,220.80246913580248
225.30864197530863,1.8881393730558164e7,1.8881393730558164e7,0.0,225.30864197530863
229.8148148148148,1.8879346691015348e7,1.8879346691015348e7,0.0,229.8148148148148
234.320987654321,1.8876967946780805e7,1.8876967946780805e7,0.0,234.320987654321
238.82716049382717,1.887421352319337e7,1.887421352319337e7,0.0,238.82716049382717
243.33333333333334,1.887103493581624e7,1.887103493581624e7,0.0,243.33333333333334
247.8395061728395,1.8867379034166075e7,1.8867379034166075e7,0.0,247.8395061728395
252.34567901234567,1.8863187739966355e7,1.8863187739966355e7,0.0,252.34567901234567
256.85185185185185,1.8858397801295534e7,1.8858397801295534e7,0.0,256.85185185185185
261.358024691358,1.8852940517694443e7,1.8852940517694443e7,0.0,261.358024691358
265.8641975308642,1.8846741449681677e7,1.8846741449681677e7,0.0,265.8641975308642
270.3703703703704,1.883972016913791e7,1.883972016913791e7,0.0,270.3703703703704
274.87654320987656,1.883178989637907e7,1.883178989637907e7,0.0,274.87654320987656
279.38271604938274,1.8822857585911915e7,1.8822857585911915e7,0.0,279.38271604938274
283.8888888888889,1.881282356004152e7,1.881282356004152e7,0.0,283.8888888888889
288.39506172839504,1.880158177229496e7,1.880158177229496e7,0.0,288.39506172839504
292.9012345679012,1.8789020018195637e7,1.8789020018195637e7,0.0,292.9012345679012
297.4074074074074,1.8775020529916696e7,1.8775020529916696e7,0.0,297.4074074074074
301.91358024691357,1.8759460920082353e7,1.8759460920082353e7,0.0,301.91358024691357
306.41975308641975,1.8742215655117292e7,1.8742215655117292e7,0.0,306.41975308641975
310.9259259259259,1.8723158149694026e7,1.8723158149694026e7,0.0,310.9259259259259
315.4320987654321,1.870216366458148e7,1.870216366458148e7,0.0,315.4320987654321
319.9382716049383,1.8679113230897866e7,1.8679113230897866e7,0.0,319.9382716049383
324.44444444444446,1.8653898730480753e7,1.8653898730480753e7,0.0,324.44444444444446
328.95061728395063,1.8626429473010853e7,1.8626429473010853e7,0.0,328.95061728395063
333.4567901234568,1.8596640461177025e7,1.8596640461177025e7,0.0,333.4567901234568
337.962962962963,1.856450259819716e7,1.856450259819716e7,0.0,337.962962962963
342.4691358024691,1.8530035505653553e7,1.8530035505653553e7,0.0,342.4691358024691
346.9753086419753,1.8493323893851522e7,1.8493323893851522e7,0.0,346.9753086419753
351.48148148148147,1.8454540875561345e7,1.8454540875561345e7,0.0,351.48148148148147
355.98765432098764,1.8413989676324412e7,1.8413989676324412e7,0.0,355.98765432098764
360.4938271604938,1.8372214663337167e7,1.8372214663337167e7,0.0,360.4938271604938
