t0,tau_exact,tau_fourier
0.0,182.26035841316028,182.26035841316028
3.65,176.9638544272136,179.1010499378293
7.3,184.41758129064533,183.6532899022438
10.95,200.8157803901951,204.31145014078885
14.6,235.10217858929465,235.50274670327335
18.25,265.443357182315,264.24906536694937
21.9,288.07331212722556,287.4139570952304
25.55,299.3705969451272,300.0554052460793
29.2,306.9406257461302,306.40408946078185
32.85,312.4826141857678,312.80692902498816
36.5,316.71718327285487,316.61378230646943
40.15,320.02711829597035,319.9478957527093
43.8,322.6431146309828,322.833866537661
47.45,324.7161706992916,324.4970857424551
51.1,326.3509485891666,326.52487424929166
54.75,327.62325929138365,327.5410539356521
58.4,328.58975931740383,328.56886216678305
62.05,329.293933843486,329.3962525842491
65.7,329.76982219216933,329.62985989103817
69.35,330.0445186115377,330.1722124684615
73.0,330.1398912500301,330.06460137541717
76.65,330.07378291281304,330.07759639188066
80.3,329.8609199287611,329.9228157992051
83.95,329.5135509435793,329.4123365684323
87.6,329.04195506061785,329.14569966536976
91.25,328.454828695733,328.38310393806506
94.9,327.75960015882436,327.7779019582897
98.55,326.9626566304867,327.00009728777593
102.2,326.0695538683989,325.99255561994187
105.85,325.08516885298536,325.17352626805723
109.5,324.01383329588225,323.9443718431555
113.15,322.85943824338926,322.88773712312144
116.8,321.6255285734686,321.64577945289534
120.45,320.3153701251077,320.25573863198207
124.1,318.93201658173405,319.00913899361666
127.75,317.47835359331,317.4105262643978
131.4,315.95714225765505,315.9931072921082
135.05,314.3710509988827,314.3779501544678
138.7,312.7226875982911,312.67673593831137
142.35,311.01460423061485,311.0827560696297
146.0,309.24932600573067,309.1827906211853
149.65,307.4293669971481,307.471683915436
153.3,305.55722271231707,305.5529347928638
156.95,303.6353806309642,303.60102591888517
160.6,301.6663261652176,301.72680446996947
164.25,299.6525602503199,299.58711622884454
167.9,297.5965567596761,297.6444933745173
171.55,295.50081051284934,295.48655817017794
175.2,293.367799283042,293.34388087601064
178.85,291.2000135125244,291.2535100939959
182.5,288.9999137704423,288.9354547755176
186.15,286.76996652693254,286.8231490579386
189.8,284.51263788381186,284.4890006233053
193.45,282.2304043053908,282.2163828232918
197.1,279.9256491221462,279.97246166557244
200.75,277.6008737583587,277.5373422126472
204.4,275.25859609813506,275.3168364413177
208.05,272.90094048323544,272.86799060578767
211.7,270.530619880623,270.526518355938
215.35,268.1499765921558,268.19003759747807
219.0,265.76146585154805,265.6988944148702
222.65,263.3675191901824,263.431243306847
226.3,260.97060846858244,260.92794922853125
229.95,258.57320915371423,258.57956663755385
233.6,256.1778489398014,256.2107700542537
237.25,253.7870578389971,253.72544487641485
240.9,251.40343725337388,251.47297393838608
244.55,249.02960210638992,248.97625394075246
248.2,246.66822566411344,246.6861900328805
251.85,244.32206769867364,244.3469574348241
255.5,241.9939175780322,241.93337103133905
259.15,239.6866488129137,239.7629392170609
262.8,237.4032018552225,237.33737736756274
266.45,235.14660590343266,235.17827410299944
270.1,232.91995889720317,232.9352663952161
273.75,230.72644004651073,230.66715663161295
277.4,228.56932434377262,228.65398164429493
281.05,226.4519343877575,226.37046684398828
284.7,224.37765344059164,224.42674805552943
288.35,222.34994254602947,222.3529213056333
292.0,220.37227338633534,220.31456406996037
295.65,218.44811348570693,218.5440867124199
299.3,216.5808748911033,216.47795998724587
302.95,214.7738553916335,214.84725695019767
306.6,213.03021618841603,213.01563945669602
310.25,211.3528021880353,211.29725669022116
313.9,209.74399393375006,209.85719250555695
317.55,208.20555875886254,208.0691605170326
321.2,206.7383780462173,206.85089523520747
324.85,205.341969159021,205.29828626776958
328.5,204.01400986571252,203.9617784198237
332.15,202.74944186131495,202.89480522318144
335.8,201.5391672994562,201.33731419435048
339.45,200.36792299787527,200.56174735709513
343.1,199.21065857422286,199.1021291325486
346.75,198.02587852013573,197.97970408478238
350.4,196.7423851553492,196.98430464653185
354.05,195.2294357380668,194.7936206338374
357.7,193.21709070167168,193.7965769978066
361.35,190.0107974092109,189.3997332123554
