t_end,cycle,loss,income,utility,d_star,scenario
312.85714285714283,1,false,6.318253597993311e6,5027.227306574991,0.0,Baseline
583.6085302495959,2,false,6.317837523339836e6,5027.061775367331,0.0,Baseline
867.6053568615484,3,false,6.54553977141773e6,5116.850504526287,0.0,Baseline
1178.9922519966758,4,false,6.18024818842637e6,4972.020992886643,0.0,Baseline
1504.3847360783673,5,false,6.31450238279038e6,5025.734725506462,0.0,Baseline
1834.4917694050619,6,false,6.560467599518953e6,5122.681953632864,0.0,Baseline
2154.437633190825,7,false,6.414660495576282e6,5065.43601107596,0.0,Baseline
2438.0562558705615,8,false,6.3058842341735475e6,5022.303947063956,0.0,Baseline
2612.197737816187,9,true,0.00021929734793957323,0.029617383269936137,0.0,Baseline
2630.1855213497824,10,true,-5.947610588918906e-6,2.0e-5,0.0,Baseline
59.579016273008435,1,true,6.741766446793918e-5,0.016421652105429486,0.0,Medium risk
377.2957678670507,2,false,5.5792043247932475e6,4724.067876224154,0.0,Medium risk
411.61889903326926,3,true,3.3928733500943054e-5,0.011649675274606251,0.0,Medium risk
735.7082992147059,4,false,6.121675432496574e6,4948.403957841992,0.0,Medium risk
1081.6414959777837,5,false,7.371724764399589e6,5430.184072165359,0.0,Medium risk
1442.9738909302214,6,false,7.854752202506991e6,5605.266167634501,0.0,Medium risk
1522.2850111796342,7,true,6.358609243761748e-5,0.015948177631016965,0.0,Medium risk
1835.9294843688838,8,true,-0.005185090703889728,2.0e-5,0.0,Medium risk
1853.5614603784418,9,true,2.3226245502883103e-5,0.009638723048803323,0.0,Medium risk
1857.7901169421552,10,true,-1.0013673090725206e-6,2.0e-5,0.0,Medium risk
97.65980041162773,1,true,-4.365864697319921e-6,2.0e-5,69.5238095238095,High risk
382.11154054088746,2,false,2.1187403347946256e6,2911.1786855462,0.0,High risk
447.2151133697932,3,true,3.195165845681913e-6,0.0035750053682096273,52.41226898292204,High risk
741.003589034641,4,false,3.110928931620893e6,3527.565127178175,0.0,High risk
1100.7687529683537,5,false,3.9947036052725515e6,3997.3509254367705,58.52022048916852,High risk
1465.7687529683537,6,false,3.9947036048784293e6,3997.350925239579,63.755056555455766,High risk
1567.4598220703156,7,true,-3.971254591306206e-5,2.0e-5,63.755056555455766,High risk
1842.6150247890469,8,true,-0.0030746159027330577,2.0e-5,0.0,High risk
1898.9135940848068,9,true,2.193496584368404e-7,0.0009366955928941705,51.90878473476265,High risk
1900.504084431548,10,true,-1.841549419623334e-7,2.0e-5,0.0,High risk
