t_end,cycle,loss,income,utility,d_star,cumulative_fallow
97.65980041162773,1,true,-4.365864697319921e-6,2.0e-5,69.5238095238095,69.5238095238095
382.11154054088746,2,false,2.1187403347946256e6,2911.1786855462,0.0,69.5238095238095
447.2151133697932,3,true,3.195165845681913e-6,0.0035750053682096273,52.41226898292204,121.93607850673155
741.003589034641,4,false,3.110928931620893e6,3527.565127178175,0.0,121.93607850673155
1100.7687529683537,5,false,3.9947036052725515e6,3997.3509254367705,58.52022048916852,180.45629899590006
1465.7687529683537,6,false,3.9947036048784293e6,3997.350925239579,63.755056555455766,244.21135555135584
1567.4598220703156,7,true,-3.971254591306206e-5,2.0e-5,63.755056555455766,307.9664121068116
1842.6150247890469,8,true,-0.0030746159027330577,2.0e-5,0.0,307.9664121068116
1898.9135940848068,9,true,2.193496584368404e-7,0.0009366955928941705,51.90878473476265,359.8751968415743
1900.504084431548,10,true,-1.841549419623334e-7,2.0e-5,0.0,359.8751968415743
