node,V_xi0,tau_xi0,d_xi0,V_xi_small,tau_xi_small,d_xi_small,V_xi_mid,tau_xi_mid,d_xi_mid,W_node
0.0,107208.34977106012,312.85714285714283,0.0,107697.73136457076,312.85714285714283,0.0,113282.85692222178,312.8571428571428,0.0,1.3560399981284785e8
17.38095238095238,107166.84632436391,325.89676445451846,0.0,107653.47419546252,325.60853224955645,0.0,113202.29059551403,321.3840656974959,0.0,1.3562849368354434e8
34.76190476190476,107110.61169238947,330.2380952380952,0.0,107594.13071064366,330.21469649947574,0.0,113105.15338209647,325.8896999646106,0.0,1.3557748059763223e8
52.142857142857146,107021.35045851863,330.0281321526391,0.0,107502.34569609025,329.7916842313067,0.0,112984.53963856946,329.07401683483675,0.0,1.3549203338523436e8
69.52380952380952,106906.89547138567,328.51791589900535,0.0,107386.11051383217,328.29906202202613,0.0,112831.5869532759,324.91502837588337,0.0,1.3532835849760336e8
86.9047619047619,106772.06315781036,324.78829566581794,0.0,107250.74896694494,324.7029494481343,0.0,112701.6122199021,326.51565302328197,0.0,1.3511062770125252e8
104.28571428571429,106644.8876528736,320.73592513896625,0.0,107124.18635924142,320.7381448425212,0.0,112562.70157600287,318.45515454458604,0.0,1.3491445280729806e8
121.66666666666667,106547.68990782544,315.8875296347942,0.0,107028.13204493825,316.03094936341387,0.0,112489.12320444352,319.8370772612743,0.0,1.3475722682615358e8
139.04761904761904,106488.9036118564,311.0047895044682,0.0,106971.0368354658,311.1088682087477,0.0,112454.96436702726,312.85716485714283,0.0,1.3467310371665192e8
156.42857142857142,106477.97595575753,305.35536268156363,0.0,106961.9360216241,305.49203522118,0.0,112451.6494343499,303.53971589957575,0.0,1.346617836709365e8
173.8095238095238,106507.21734020222,300.33240747729724,0.0,106993.00703288906,300.48227938667065,0.0,112511.71694859558,303.96515360615723,0.0,1.3473470676199782e8
191.1904761904762,106569.11887683198,291.82678166695854,0.0,107055.9830572957,291.9254484287059,0.0,112596.66231853262,299.58720416085686,0.0,1.3477663294806206e8
208.57142857142858,106655.1942117852,286.3060506890504,0.0,107143.62674461148,286.46339093119957,0.0,112700.83998266529,289.85912093306706,0.0,1.3492423254914272e8
225.95238095238096,106751.80379155552,282.3608416892315,0.0,107241.8199801392,282.5055707631733,0.0,112812.59824790893,281.4874534459366,0.0,1.351033133558803e8
243.33333333333334,106859.82773477874,272.670729831848,0.0,107350.49968100883,272.7889211630311,0.0,112930.3597848544,282.7616283662936,0.0,1.35183483061831e8
260.7142857142857,106965.32116452305,269.5876061153495,0.0,107457.25470347534,269.7276880966527,0.0,113052.45964385102,273.4488364914369,0.0,1.3535662195756355e8
278.0952380952381,107061.30272102484,267.90819153385587,0.0,107553.96375415978,267.90979941043497,0.0,113162.9618216054,270.6096354838453,0.0,1.3548109537943473e8
295.4761904761905,107141.77051997875,268.3590072725449,0.0,107634.66230955115,268.50093249220754,0.0,113251.90924056814,270.70695675647937,0.0,1.3555629365485775e8
312.85714285714283,107197.44027406015,270.8206325364966,0.0,107690.61757816805,271.0090621863414,0.0,113309.40089903341,271.9668323036224,0.0,1.3561326826748586e8
330.23809523809524,107224.92311825871,284.3459388967863,0.0,107717.49305001853,284.4521839177664,0.0,113331.92048634395,287.0034051138376,0.0,1.3562867070818278e8
347.6190476190476,107226.62185157265,298.220133467177,0.0,107718.25920770172,297.4711161760073,0.0,113324.50510511073,296.15679001075614,0.0,1.3562916838555038e8
